track_id,total_frames,first_frame,last_frame,duration_seconds,zones_visited,zone_details
1,339,2,346,25.89,1,Expositor 2: 207 frames
2,220,2,238,16.8,0,
3,155,2,156,11.84,1,Expositor 1: 128 frames
4,112,2,119,8.55,1,Expositor 2: 70 frames
5,47,2,48,3.59,0,
6,68,2,69,5.19,1,Expositor 2: 55 frames
7,262,2,265,20.01,1,Expositor 2: 32 frames
8,48,2,49,3.67,0,
9,40,2,41,3.06,0,
10,44,2,45,3.36,1,Expositor 2: 44 frames
11,114,2,156,8.71,0,
12,93,40,156,7.1,0,
15,80,48,152,6.11,0,
19,401,52,453,30.63,1,Expositor 2: 142 frames
20,53,56,167,4.05,1,Expositor 1: 14 frames
24,6,69,74,0.46,1,Expositor 2: 6 frames
25,5,73,77,0.38,0,
27,6,83,88,0.46,0,
34,260,102,507,19.86,1,Expositor 1: 1 frames
37,17,105,123,1.3,1,Expositor 2: 17 frames
38,24,105,142,1.83,0,
42,25,114,139,1.91,0,
43,10,116,125,0.76,1,Expositor 2: 10 frames
46,128,122,256,9.78,1,Expositor 2: 128 frames
47,25,123,147,1.91,1,Expositor 2: 25 frames
54,87,157,314,6.64,0,
55,373,157,546,28.49,1,Expositor 1: 370 frames
56,314,160,520,23.98,1,Expositor 1: 72 frames
57,84,162,296,6.42,1,Expositor 2: 24 frames
64,272,179,472,20.77,0,
65,4,185,188,0.31,0,
66,116,187,313,8.86,0,
67,257,190,579,19.63,0,
69,10,212,238,0.76,0,
72,13,225,257,0.99,0,
73,72,232,303,5.5,1,Expositor 2: 41 frames
77,289,250,567,22.07,0,
86,4,264,267,0.31,1,Expositor 2: 3 frames
87,4,266,269,0.31,1,Expositor 2: 4 frames
88,124,266,399,9.47,0,
97,15,280,294,1.15,1,Expositor 1: 10 frames
100,37,288,324,2.83,0,
102,50,292,342,3.82,1,Expositor 1: 35 frames
103,27,294,324,2.06,1,Expositor 2: 8 frames
106,33,304,336,2.52,0,
111,16,321,350,1.22,0,
112,36,322,357,2.75,0,
114,26,348,385,1.99,0,
115,4,349,352,0.31,0,
118,53,361,466,4.05,0,
120,42,364,409,3.21,0,
121,35,365,427,2.67,0,
125,6,381,386,0.46,1,Expositor 1: 2 frames
130,323,411,745,24.67,1,Expositor 2: 29 frames
131,79,416,494,6.03,0,
132,218,433,683,16.65,0,
134,29,439,467,2.21,0,
144,7,484,490,0.53,0,
150,61,496,585,4.66,0,
151,525,496,1091,40.1,2,Expositor 1: 23 frames; Expositor 2: 19 frames
153,11,499,509,0.84,0,
155,36,504,539,2.75,1,Expositor 1: 32 frames
157,194,517,751,14.82,0,
159,93,518,635,7.1,0,
161,127,535,662,9.7,1,Expositor 1: 27 frames
164,11,543,573,0.84,0,
166,24,548,571,1.83,1,Expositor 2: 6 frames
167,255,560,841,19.48,0,
168,711,560,1282,54.3,1,Expositor 1: 557 frames
170,7,566,572,0.53,0,
171,8,566,573,0.61,0,
172,10,570,579,0.76,0,
175,73,585,674,5.58,0,
176,377,585,1035,28.79,1,Expositor 1: 123 frames
177,5,591,595,0.38,0,
178,26,594,619,1.99,1,Expositor 2: 21 frames
179,6,596,601,0.46,0,
181,8,605,612,0.61,0,
183,196,618,858,14.97,2,Expositor 1: 182 frames; Expositor 2: 7 frames
186,27,628,683,2.06,0,
187,77,630,727,5.88,1,Expositor 1: 53 frames
189,45,630,722,3.44,1,Expositor 1: 45 frames
191,52,636,716,3.97,1,Expositor 1: 4 frames
192,222,636,862,16.96,0,
203,6,681,686,0.46,0,
206,91,694,797,6.95,1,Expositor 1: 5 frames
208,45,698,808,3.44,0,
209,39,700,754,2.98,0,
211,100,703,802,7.64,1,Expositor 1: 22 frames
212,9,704,712,0.69,1,Expositor 2: 9 frames
213,43,704,773,3.28,0,
221,16,723,739,1.22,0,
225,229,737,974,17.49,1,Expositor 1: 229 frames
232,23,754,829,1.76,0,
235,44,783,826,3.36,1,Expositor 2: 31 frames
236,27,785,827,2.06,0,
242,8,795,802,0.61,0,
243,297,797,1093,22.68,1,Expositor 1: 72 frames
246,55,801,882,4.2,2,Expositor 1: 37 frames; Expositor 2: 11 frames
251,338,818,1191,25.82,1,Expositor 2: 8 frames
255,4,828,831,0.31,0,
257,6,833,838,0.46,1,Expositor 1: 6 frames
261,381,838,1219,29.1,0,
262,14,839,852,1.07,0,
269,16,858,873,1.22,1,Expositor 2: 1 frames
277,15,879,893,1.15,1,Expositor 2: 15 frames
279,76,880,955,5.8,1,Expositor 1: 76 frames
280,36,884,951,2.75,0,
285,6,898,903,0.46,1,Expositor 2: 5 frames
286,13,902,914,0.99,0,
287,85,902,1055,6.49,0,
291,243,959,1282,18.56,0,
294,75,963,1042,5.73,0,
295,281,973,1282,21.46,1,Expositor 1: 212 frames
297,18,976,1001,1.37,1,Expositor 1: 18 frames
298,22,979,1000,1.68,0,
299,35,979,1016,2.67,1,Expositor 1: 35 frames
303,72,1003,1091,5.5,0,
304,18,1008,1029,1.37,1,Expositor 1: 18 frames
305,16,1008,1042,1.22,0,
307,21,1025,1046,1.6,0,
312,186,1055,1282,14.21,1,Expositor 2: 120 frames
314,5,1059,1063,0.38,1,Expositor 1: 5 frames
315,6,1060,1065,0.46,1,Expositor 1: 6 frames
320,215,1066,1282,16.42,2,Expositor 1: 8 frames; Expositor 2: 64 frames
321,152,1069,1249,11.61,1,Expositor 1: 19 frames
327,73,1077,1149,5.58,0,
329,81,1084,1189,6.19,1,Expositor 1: 31 frames
345,30,1137,1166,2.29,1,Expositor 2: 4 frames
346,4,1141,1144,0.31,1,Expositor 1: 4 frames
354,11,1159,1169,0.84,1,Expositor 1: 5 frames
361,4,1178,1181,0.31,0,
364,65,1218,1282,4.96,0,
366,47,1225,1282,3.59,0,
370,4,1232,1235,0.31,0,
374,11,1243,1253,0.84,0,
376,33,1248,1280,2.52,0,
378,9,1261,1269,0.69,0,
379,15,1265,1279,1.15,0,
380,6,1271,1282,0.46,0,
