Frame,Timestamp,Track_ID,X1,Y1,X2,Y2,Center_X,Center_Y,Zone,Confidence
9,0.6873902085083633,1,407.0,128.0,496.0,299.0,451,213,Nenhuma,0.8
9,0.6873902085083633,2,1.0,94.0,77.0,246.0,39,170,Nenhuma,0.8
9,0.6873902085083633,3,114.0,56.0,171.0,147.0,142,101,Nenhuma,0.8
9,0.6873902085083633,4,536.0,237.0,620.0,353.0,578,295,Nenhuma,0.8
12,0.916520278011151,1,407.0,128.0,496.0,299.0,451,213,Nenhuma,0.8
12,0.916520278011151,2,1.0,94.0,77.0,246.0,39,170,Nenhuma,0.8
12,0.916520278011151,3,114.0,56.0,171.0,147.0,142,101,Nenhuma,0.8
12,0.916520278011151,4,536.0,237.0,620.0,353.0,578,295,Nenhuma,0.8
15,1.1456503475139388,1,407.0,128.0,496.0,299.0,451,213,Nenhuma,0.8
15,1.1456503475139388,2,1.0,94.0,77.0,246.0,39,170,Nenhuma,0.8
15,1.1456503475139388,3,114.0,56.0,171.0,147.0,142,101,Nenhuma,0.8
15,1.1456503475139388,4,536.0,237.0,620.0,353.0,578,295,Nenhuma,0.8
18,1.3747804170167266,1,407.0,128.0,496.0,299.0,451,213,Nenhuma,0.8
18,1.3747804170167266,2,0.6681649862014609,94.0,76.61587621992352,246.0,38,170,Nenhuma,0.8
18,1.3747804170167266,3,114.0,56.0,171.0,147.0,142,101,Nenhuma,0.8
18,1.3747804170167266,4,536.0,237.0,620.0,353.0,578,295,Nenhuma,0.8
21,1.6039104865195142,1,407.0,128.0,496.0,299.0,451,213,Nenhuma,0.8
21,1.6039104865195142,2,0.8927584260246846,94.0,76.84353557190694,246.0,38,170,Nenhuma,0.8
21,1.6039104865195142,3,114.0,56.0,171.0,147.0,142,101,Nenhuma,0.8
21,1.6039104865195142,4,536.0,237.0,620.0,353.0,578,295,Nenhuma,0.8
24,1.833040556022302,1,407.0,128.0,496.0,299.0,451,213,Nenhuma,0.8
24,1.833040556022302,2,0.6627089745144801,94.0,76.5524188802467,246.0,38,170,Nenhuma,0.8
24,1.833040556022302,3,114.0,56.0,171.0,147.0,142,101,Nenhuma,0.8
24,1.833040556022302,4,536.0,237.0,620.0,353.0,578,295,Nenhuma,0.8
27,2.0621706255250896,1,407.0,128.0,496.0,299.0,451,213,Nenhuma,0.8
27,2.0621706255250896,2,0.600075513861384,94.0,76.42830617413036,246.0,38,170,Nenhuma,0.8
27,2.0621706255250896,3,114.0,56.0,171.0,147.0,142,101,Nenhuma,0.8
27,2.0621706255250896,4,536.0,237.0,620.0,353.0,578,295,Nenhuma,0.8
30,2.2913006950278776,1,407.0,128.0,496.0,299.0,451,213,Nenhuma,0.8
30,2.2913006950278776,2,0.5989264196424671,94.0,76.36644523629015,246.0,38,170,Nenhuma,0.8
30,2.2913006950278776,3,114.0,56.0,171.0,147.0,142,101,Nenhuma,0.8
30,2.2913006950278776,4,536.0,237.0,620.0,353.0,578,295,Nenhuma,0.8
33,2.520430764530665,1,407.0,128.0,496.0,299.0,451,213,Nenhuma,0.8
33,2.520430764530665,2,0.6196290324900673,94.0,76.32812681460712,246.0,38,170,Nenhuma,0.8
33,2.520430764530665,3,114.0,56.0,171.0,147.0,142,101,Nenhuma,0.8
33,2.520430764530665,4,536.0,237.0,620.0,353.0,578,295,Nenhuma,0.8
36,2.749560834033453,1,407.0,128.0,496.0,299.0,451,213,Nenhuma,0.8
36,2.749560834033453,2,0.6472301403521996,94.0,76.29908185385011,246.0,38,170,Nenhuma,0.8
36,2.749560834033453,3,114.0,56.0,171.0,147.0,142,101,Nenhuma,0.8
36,2.749560834033453,4,536.0,237.0,620.0,353.0,578,295,Nenhuma,0.8
39,2.9786909035362408,1,407.3750709469442,128.0,496.29254266338916,299.0,451,213,Nenhuma,0.8
39,2.9786909035362408,2,0.6760688271662829,94.0,76.27412288811647,246.0,38,170,Nenhuma,0.8
39,2.9786909035362408,3,114.0,56.0,171.0,147.0,142,101,Nenhuma,0.8
39,2.9786909035362408,4,536.2768489487314,236.33238638966674,621.0583782719352,354.33522722066664,578,295,Nenhuma,0.8
42,3.2078209730390284,1,410.2399469889622,124.003882135168,499.67116479799165,298.33398035586134,454,211,Nenhuma,0.8
42,3.2078209730390284,2,0.12269075602947765,94.0,75.5007062157085,246.0,37,170,Nenhuma,0.8
42,3.2078209730390284,3,114.01054340087965,56.0,171.655476243259,148.33203928827734,142,102,Nenhuma,0.8
42,3.2078209730390284,4,523.3202997432523,226.82612804434598,614.6724072632633,354.83151919864974,568,290,Nenhuma,0.8
45,3.4369510425418164,1,409.6782654671238,117.89977060490335,502.55401697266274,303.362384173893,456,210,Nenhuma,0.8
45,3.4369510425418164,2,1.4102402696615997,100.64813500078718,73.71992930693487,246.0,37,173,Nenhuma,0.8
45,3.4369510425418164,3,114.3406448888932,56.66083186572457,171.5735942732187,148.16764645849935,142,102,Nenhuma,0.8
